draft_overall,contract_cap_pct
1,0.041047523691278696
2,0.0392066114602736
3,0.038035143718457995
4,0.03669628379530758
5,0.03435329821645469
6,0.030169409423736603
7,0.026822297187276814
8,0.023475183948912594
9,0.02330763847619944
10,0.022387366210160454
11,0.020964852276328834
12,0.01895657291159976
13,0.01845450958279631
14,0.017617734028442442
15,0.0172830418409807
16,0.016278885126240792
17,0.01594417189878595
18,0.015525789632083401
19,0.015274747447685123
20,0.015191077406532989
22,0.01494003522213471
23,0.014772684118881671
24,0.01443797189333126
25,0.014270620790078223
26,0.014103239629692177
27,0.013935908564527809
28,0.013852228504331338
29,0.01318075616056829
30,0.012825167252335514
31,0.012527303068043056
32,0.012335512509941866
33,0.009919370875062762
34,0.009835690814866292
35,0.009752009752765387
36,0.00958465864951235
37,0.009517718408592021
38,0.009367077067482119
39,0.00921647680445399
40,0.009082585301664562
41,0.008948704819823905
42,0.008798083516802674
43,0.008664203034962016
44,0.008536628539626268
45,0.008357943893420651
46,0.008165477049826798
47,0.007911097521760288
48,0.007743746418507249
49,0.007576375277165539
50,0.007409034192956836
51,0.007241683089703798
52,0.007074321967406424
53,0.006906970864153385
54,0.006739609741856011
55,0.006572258638602973
56,0.006488577576502069
57,0.006438367135813547
58,0.006354697094661413
59,0.00623754641305256
60,0.006187335972364038
61,0.006120395731443709
62,0.006070185290755187
63,0.006053454488618947
64,0.006019984869111
65,0.005685108331233481
66,0.00567044646175257
67,0.005663852928675226
68,0.005653184650266537
69,0.005635931855920406
70,0.005603055363837134
71,0.005580663801651205
72,0.005564855753498288
73,0.005543548251909485
74,0.0055329921867973576
75,0.005516672165478883
76,0.005470526451077366
77,0.005465315546118352
78,0.005457584851508901
79,0.005437004732538874
80,0.0054178072416871765
81,0.00539860975083548
82,0.005385022924811794
83,0.005357338301503298
84,0.005337648875574716
85,0.005326621915378809
86,0.005307916359603997
87,0.0052904281177159765
88,0.005280875960846289
89,0.005277701927600729
90,0.0052761149109779495
91,0.005274527894355169
92,0.005266592811241269
93,0.005250722645013469
94,0.005234852478785669
95,0.0052189833144623025
96,0.0052031131482345025
97,0.005180117437675129
98,0.005180117437675129
99,0.005180117437675129
100,0.005180117437675129
101,0.005180117437675129
102,0.005180117437675129
103,0.005180117437675129
104,0.005180117437675129
105,0.004727483064102015
106,0.0047069530403536656
107,0.004704019464172163
108,0.004698478932654502
109,0.004690199194415453
110,0.004685411093127407
111,0.004682171936093664
112,0.004677637316627312
113,0.004672610762084075
114,0.004666483114568342
115,0.0046519544983770955
116,0.004649988761878425
117,0.004646638393452556
118,0.004645803807059389
119,0.004641611838909319
120,0.004631000669053345
121,0.004627613230163434
122,0.004619868508891913
123,0.004611760096311005
